Go.	Va !
Can you show it to me?	Pouvez-vous me le montrer ?
Can you sing the song?	Peux-tu chanter la chanson ?
Can you speak English?	Savez-vous parler anglais ?
Can you wait a minute?	Peux-tu attendre une minute ?
Can you wait a minute?	Pouvez-vous attendre une minute ?
Can you write Braille?	Sais-tu écrire en Braille ?
Can't we discuss this?	Ne pouvons-nous pas discuter de ceci ?
Can't you move faster?	Ne peux-tu pas bouger plus vite ?
Can't you move faster?	Ne pouvez-vous pas bouger plus vite ?
Cats don't like water.	Les chats n'aiment pas l'eau.
Change was in the air.	Les choses étaient en train de changer.
Change was in the air.	Un changement s'annonçait.
Children need to play.	Les enfants ont besoin de jouer.
Children need to play.	Les enfants doivent jouer.
Children watch adults.	Les enfants observent les adultes.
Close all the windows.	Ferme toutes les fenêtres !
Close all the windows.	Fermez toutes les fenêtres !
Close your eyes again.	Fermez les yeux à nouveau.
Close your eyes again.	Ferme les yeux à nouveau.
Come downtown with us.	Venez en ville avec nous !
Come downtown with us.	Viens en ville avec nous !
Come here and help me.	Viens ici et aide-moi.
Come here, all of you.	Venez ici, tous tant que vous êtes !
Come here, all of you.	Venez ici, toutes tant que vous êtes !
Come here, all of you.	Venez ici, vous tous !
Come here, all of you.	Venez ici, vous toutes !
Come home before dark.	Viens avant qu'il ne fasse sombre.
Come on, let's try it.	Allez, essayons !
Come on, let's try it.	Allez, tentons-le !
Come over to my place.	Viens chez moi !
Come over to my place.	Venez chez moi !
Come to lunch with us.	Venez déjeuner avec nous.
Come tomorrow morning.	Venez demain matin.
Complete the sentence.	Complétez la phrase.
Control is everything.	Le contrôle, ça fait tout.
Cotton sucks up water.	Le coton absorbe l'eau.
Could I have a tissue?	Pourrais-je avoir un mouchoir ?
Could I use the phone?	Pourrais-je utiliser votre téléphone ?
Could I use the phone?	Pourrais-je utiliser ton téléphone ?
Could I use your desk?	Puis-je utiliser votre bureau ?
Could we discuss this?	Pourrions-nous en discuter ?
Could we have a spoon?	Pourrions-nous avoir une cuillère ?
Could you drop me off?	Pourriez-vous me déposer ?
Could you drop me off?	Pourrais-tu me déposer ?
Could you let him out?	Pourriez-vous le laisser sortir ?
Could you repeat that?	Peux-tu répéter ça ?
Count from one to ten.	Compte de un à dix.
Death before dishonor!	La mort plutôt que le déshonneur !
Did I really say that?	Ai-je vraiment dit cela ?
Did I ruin your plans?	Ai-je fait capoter tes projets ?
Did I ruin your plans?	Ai-je fait capoter vos projets ?
Did Tom forget to pay?	Tom a-t-il oublié de payer ?
Did Tom listen to you?	Est-ce que Tom t'a écouté ?
Did anyone call me up?	Est-ce que quelqu'un m'a appelé ?
Did he do such things?	A-t-il fait de telles choses ?
Did he propose to you?	T'a-t-il demandée en mariage ?
Did he stay very long?	Est-il resté très longtemps ?
Did it make you angry?	Cela t'a-t-il mis en colère ?
Did it make you angry?	Cela vous a-t-il mis en colère ?
Did somebody get hurt?	Quelqu'un a-t-il eu mal ?
Did you ask the price?	As-tu demandé le prix ?
Did you ask the price?	Avez-vous demandé le prix ?
Did you buy a new car?	Avez-vous acheté une voiture neuve ?
Did you buy a new car?	As-tu acheté une voiture neuve ?
Did you buy this book?	As-tu acheté ce livre ?
Did you find anything?	As-tu trouvé quoi que ce soit ?
Did you find anything?	Avez-vous trouvé quoi que ce soit ?
Did you get the check?	As-tu reçu le chèque ?
Did you get the check?	As-tu reçu la note ?
Did you get the check?	Avez-vous reçu le chèque ?
Did you get the check?	Avez-vous reçu la note ?
Did you have any luck?	As-tu réussi ?
Did you have any luck?	Avez-vous réussi ?
Did you hear all that?	As-tu tout entendu ?
Did you hear all that?	Avez-vous tout entendu ?
Did you hear the news?	Vous écoutez les informations ?
Did you hear the news?	Avez-vous entendu les nouvelles ?
Did you hurt yourself?	Tu t'es fait mal ?
Did you hurt yourself?	Vous êtes-vous fait mal ?
Did you hurt yourself?	T'es-tu fait mal ?
Did you know him well?	Le connaissiez-vous bien ?
Did you know him well?	Le connaissais-tu bien ?
Did you know him well?	L'as-tu bien connu ?
Did you know him well?	L'avez-vous bien connu ?
Did you not know that?	Ne le saviez-vous pas ?
Did you not know that?	Ne le savais-tu pas ?
Did you question them?	Les avez-vous remis en question ?
Did you question them?	Les as-tu remis en question ?
Did you recognize Tom?	As-tu reconnu Tom ?
Did you say something?	Disais-tu quelque chose ?
Did you say something?	As-tu dit quelque chose ?
Did you say something?	Tu disais quelque chose ?
Did you say something?	As-tu dit quelque chose ?
Did you say something?	Avez-vous dit quelque chose ?
Did you say yes or no?	As-tu dit oui ou non ?
Did you see my camera?	As-tu vu mon appareil photo ?
Did you sleep all day?	As-tu dormi toute la journée ?
Did you sleep all day?	Avez-vous dormi toute la journée ?
Did you take him home?	L'as-tu emmené chez toi ?
Did you take him home?	L'avez-vous emmené chez vous ?
Did you talk about me?	As-tu parlé de moi ?
Did you talk about me?	Avez-vous parlé de moi ?
Did you telephone him?	Lui avez-vous téléphoné ?
Did you telephone him?	Lui as-tu téléphoné ?
Did you think of that?	Y avais-tu pensé ?
Did you think of that?	Y avais-tu songé ?
Did you think of that?	Y aviez-vous pensé ?
Did you think of that?	Y aviez-vous songé ?
Did you understand me?	M'avez-vous compris ?
Did you understand me?	M'as-tu compris ?
Did you understand me?	M'avez-vous compris ?
Did you understand me?	M'avez-vous comprise ?
Did you understand me?	M'as-tu compris ?
Did you understand me?	M'as-tu comprise ?
Did you use my camera?	Avez-vous utilisé mon appareil photo ?
Didn't I mention that?	N'en ai-je pas fait mention ?
Didn't I mention that?	N'ai-je pas mentionné cela ?
Do I look busy to you?	Ai-je l'air occupé, selon toi ?
Do I look busy to you?	Ai-je l'air occupée, selon toi ?
Do I look busy to you?	Ai-je l'air occupé, selon vous ?
Do I look busy to you?	Ai-je l'air occupée, selon vous ?
Do I look dead to you?	Ai-je l'air mort, selon vous ?
Do I look dead to you?	Ai-je l'air mort, selon toi ?
Do I look dead to you?	Ai-je l'air morte, selon vous ?
Do I look dead to you?	Ai-je l'air morte, selon toi ?
Do I look like I care?	Ai-je l'air de m'en soucier ?
Do I look pale to you?	Est-ce que je vous parais pâle?
Do I look presentable?	Ai-je l'air présentable ?
Do I need to say more?	Ai-je besoin d’en dire plus ?
Do I need to transfer?	Y a-t-il une correspondance ?
Do it any way you can.	Fais-le selon les possibilités.
Do not be so critical.	Ne sois pas si critique !
Do not be so critical.	Ne soyez pas si critique !
Do not be so critical.	Ne soyez pas si critiques !
Do not open your book.	N'ouvre pas ton livre.
Do not open your book.	N'ouvre pas ton livre !
Do not open your book.	N'ouvrez pas votre livre !
Do they know about us?	Ont-ils connaissance de notre existence ?
Do they learn English?	Est-ce qu'ils étudient l'anglais ?
Do turtles have teeth?	Les tortues ont-elles des dents ?
Do we have any chance?	Avons-nous la moindre chance ?
Do we know each other?	Nous connaissons-nous ?
Do you agree with Tom?	Es-tu d'accord avec Tom ?
Do you also like jazz?	Aimez-vous aussi le jazz ?
Do you believe in God?	Croyez-vous en Dieu ?
Do you believe in God?	Crois-tu en Dieu ?
Do you believe me now?	Me croyez-vous, maintenant ?
Do you believe me now?	Me crois-tu, maintenant ?
Do you carry a weapon?	Portes-tu une arme ?
Do you carry a weapon?	Portez-vous une arme ?
Do you enjoy studying?	Aimes-tu étudier ?
Do you enjoy studying?	Aimez-vous étudier ?
Do you enjoy studying?	Aimes-tu étudier?
Do you feel all right?	Te sens-tu bien ?
Do you feel all right?	Vous sentez-vous bien ?
Do you fly frequently?	Prenez-vous souvent l'avion ?
Do you fly frequently?	Voyagez-vous souvent en avion ?
Do you fly frequently?	Prends-tu souvent l'avion ?
Do you fly frequently?	Voyages-tu souvent en avion ?
Do you go there often?	Y vas-tu souvent ?
Do you go there often?	Y vas-tu fréquemment ?
Do you have a bicycle?	Avez-vous un vélo ?
Do you have a bicycle?	Avez-vous une bicyclette ?
Do you have a few CDs?	As-tu quelques CDs ?
Do you have a husband?	As-tu un époux ?
Do you have a lighter?	Avez-vous un briquet ?
Do you have a problem?	Tu as un problème ?
Do you have a problem?	Est-ce que tu as un problème ?
Do you have a problem?	Avez-vous un problème ?
Do you have a problem?	Vous avez un problème ?
Do you have a receipt?	As-tu un reçu ?
Do you have a receipt?	Avez-vous un reçu ?
Do you have a vacancy?	Est-ce que vous avez des chambres de libre ?
Do you have any money?	As-tu de l'argent ?
Do you have any money?	Disposez-vous d'un quelconque argent ?
Do you have any money?	As-tu un quelconque argent ?
Do you have any water?	Avez-vous la moindre eau ?
Do you have any water?	As-tu la moindre eau ?
Do you have some milk?	Avez-vous un peu de lait ?
Do you have some wine?	As-tu du vin ?
Do you have some wine?	Avez-vous du vin ?
Do you have to go now?	Dois-tu partir maintenant ?
Do you have to go now?	Devez-vous partir maintenant ?
Do you have to go now?	Dois-tu y aller maintenant ?
Do you have to go now?	Devez-vous y aller maintenant ?
Do you have your keys?	As-tu tes clefs?
Do you hear any sound?	Tu entends n'importe quel son ?
Do you hear any sound?	Tu entends bien ?
Do you know this lady?	Tu connais cette dame ?
Do you know this song?	Tu connais cette chanson ?
Do you know who he is?	Savez-vous qui c'est ?
Do you know who he is?	Savez-vous qui il est ?
Do you know your size?	Connaissez-vous votre taille ?
Do you like anchovies?	Aimez-vous les anchois ?
Do you like her songs?	Aimes-tu ses chansons ?
Do you like her songs?	Aimez-vous ses chansons ?
Do you like his songs?	Aimes-tu ses chansons ?
Do you like his songs?	Aimez-vous ses chansons ?
Do you like surprises?	Aimes-tu les surprises ?
Do you like surprises?	Aimez-vous les surprises ?
Do you like the piano?	Aimez-vous le piano ?
Do you like to travel?	Aimez-vous voyager ?
Do you like to travel?	Aimes-tu voyager ?
Do you live in Turkey?	Habites-tu en Turquie ?
Do you meet him often?	Le rencontres-tu souvent ?
Do you miss your kids?	Est-ce que tes enfants te manquent ?
Do you need a deposit?	As-tu besoin d'un dépôt ?
Do you need a deposit?	Avez-vous besoin d'une caution ?
Do you need the phone?	As-tu besoin du téléphone ?
Do you need the phone?	Avez-vous besoin du téléphone ?
Do you need this book?	As-tu besoin de ce livre ?
Do you not like girls?	N'aimez-vous pas les filles ?
Do you not like girls?	N'aimes-tu pas les filles ?
Do you own a computer?	Possèdes-tu un ordinateur ?
Do you own a computer?	Possédez-vous un ordinateur ?
Do you plan on moving?	Envisagez-vous de déménager ?
Do you play in a band?	Jouez-vous dans un groupe ?
Do you play in a band?	Jouez-vous dans une fanfare ?
Do you play in a band?	Jouez-vous dans un orchestre ?
Do you play in a band?	Joues-tu dans un groupe ?
Do you play in a band?	Joues-tu dans une fanfare ?
Do you play in a band?	Jouez-vous dans un ensemble ?
Do you play in a band?	Joues-tu dans un ensemble ?
Do you really love me?	Tu m’aimes vraiment ?
Do you really mean it?	Le penses-tu réellement ?
Do you really mean it?	Es-tu vraiment sincère ?
Do you really want it?	Le veux-tu vraiment ?
Do you recognize them?	Les reconnaissez-vous ?
Do you recognize them?	Les reconnais-tu ?
Do you speak Japanese?	Parles-tu japonais ?
Do you speak Japanese?	Parlez-vous japonais ?
Do you still love him?	L'aimes-tu encore ?
Do you still love him?	L'aimez-vous encore ?
Do you still need tea?	As-tu encore besoin de thé ?
Do you think I did it?	Pensez-vous que je l'aie fait ?
Do you think I did it?	Penses-tu que je l'aie fait ?
Do you think I'm ugly?	Me trouves-tu laid ?
Do you think I'm ugly?	Me trouves-tu laide ?
Do you think I'm ugly?	Trouves-tu que je sois laid ?
Do you think I'm ugly?	Trouves-tu que je sois laide ?
Do you think I'm ugly?	Trouvez-vous que je sois laid ?
Do you think I'm ugly?	Trouvez-vous que je sois laide ?
Do you think it works?	Penses-tu que ça marche ?
Do you think it works?	Pensez-vous que ça marche ?
Do you understand her?	La comprends-tu ?
Do you understand her?	La comprenez-vous ?
Do you use aftershave?	Utilisez-vous un après-rasage ?
Do you use aftershave?	Utilises-tu un après-rasage ?
Do you walk to school?	Marchez-vous jusqu'à l'école ?
Do you want in or not?	Voulez-vous entrer ou pas ?
Do you want in or not?	Veux-tu entrer ou pas ?
Do you want some help?	Veux-tu de l'aide ?
Do you want some help?	Vous voulez de l'aide ?
Do you want some help?	Tu veux de l'aide ?
Do you want some help?	Voulez-vous de l'aide ?
Do you want some wine?	Voulez-vous du vin ?
Do you want some wine?	Veux-tu du vin ?
Do you want something?	Tu veux quelque chose ?
Do you want something?	Veux-tu quelque chose ?
Do you want something?	Voulez-vous quelque chose ?
Do you want something?	Veux-tu quelque chose ?
Do you want to resign?	Voudrais-tu démissionner ?
Do you want to resign?	Voulez-vous démissionner ?
Do you want to try it?	Veux-tu essayer ?
Do you want to try it?	Voulez-vous essayer ?
Do you want to try it?	Veux-tu t'y essayer ?
Do you want to try it?	Voulez-vous vous y essayer ?
Does Tom dye his hair?	Tom se teint-il les cheveux ?
Does Tom have a beard?	Tom a-t-il une barbe ?
Does Tom like his job?	Tom aime-t-il son travail ?
Does Tom like to swim?	Tom aime-t-il nager ?
Does Tom want to rest?	Tom veut-il se reposer ?
Does anybody know him?	Est-ce que quelqu'un le connaît ?
Does anyone feel sick?	Quiconque se sent-il malade ?
Does he do any sports?	Pratique-t-il un sport quelconque ?
Does he speak English?	Parle-t-il anglais ?
Does it hurt anywhere?	Cela fait-il mal où que ce soit ?
Does it matter to you?	Cela vous importe-t-il ?
Does it matter to you?	Est-ce important pour toi ?
Does it really matter?	Cela importe-t-il vraiment ?
Does she have a hobby?	A-t-elle un passe-temps ?
Does she like oranges?	Aime-t-elle les oranges ?
Does she speak French?	Parle-t-elle français ?
Does that satisfy you?	Cela vous satisfait-il ?
Does that satisfy you?	Cela te satisfait-il ?
Does that trouble you?	Est-ce que ça te dérange ?
Does that trouble you?	Est-ce que ça vous dérange ?
Does that trouble you?	Cela vous dérange-t-il ?
Does that window open?	Cette fenêtre s'ouvre-t-elle ?
Does the hat fit well?	Le chapeau est-il à la bonne taille ?
Does this ring a bell?	Cela t'évoque-t-il quelque chose ?
Does this ring a bell?	Ça t'évoque quelque chose ?
Does this ring a bell?	Ça vous évoque quelque chose ?
Does this ring a bell?	Cela vous évoque-t-il quelque chose ?
Dogs often bury bones.	Les chiens enterrent souvent des os.
Don't be so impatient.	Ne sois pas si impatient !
Don't be so impatient.	Ne sois pas tellement impatient !
Don't be so impatient.	Ne soyez pas si impatient !
Don't be so impatient.	Ne soyez pas tellement impatient !
Don't be so impatient.	Ne soyez pas tellement impatiente !
Don't be so impatient.	Ne soyez pas si impatiente !
Don't be so impatient.	Ne soyez pas si impatients !
Don't be so impatient.	Ne soyez pas si impatientes !
Don't be so impatient.	Ne soyez pas tellement impatientes !
Don't be so impatient.	Ne soyez pas tellement impatients !
Don't be so impatient.	Ne sois pas si impatiente !
Don't be so impatient.	Ne sois pas tellement impatiente !
Don't be unreasonable.	Ne sois pas déraisonnable.
Don't bite your nails.	Ne ronge pas tes ongles.
Don't blame it on her.	Ne l'en rends pas responsable.
Don't blame it on her.	Ne le lui reproche pas.
Don't blame the guide.	Ne blâmez pas le guide.
Don't burst my bubble.	Ne crève pas ma bulle !
Don't burst my bubble.	Ne crevez pas ma bulle !
Don't call me anymore.	Ne m'appelle plus.
Don't call me anymore.	Ne m'appelez plus.
Don't call the police.	N'appelle pas la police.
Don't call the police.	N'appelez pas la police.
Don't close your eyes.	Ne ferme pas les yeux !
Don't come any closer.	Ne t'approche pas davantage.
Don't come any closer.	Ne vous approchez pas davantage.
Don't commit yourself.	Ne t'engage pas.
Don't confuse the two.	Ne confonds pas les deux.
Don't confuse the two.	Ne confondez pas les deux.
Don't cut your finger.	Ne te coupe pas le doigt.
Don't cut your finger.	Ne vous coupez pas le doigt.
Don't drink and drive.	Ne conduis pas sous l'influence de l'alcool.
Don't drink the water.	Ne bois pas l'eau.
Don't drink the water.	Ne buvez pas l'eau.
Don't eat the oysters.	Ne mange pas les huîtres.
Don't eat the oysters.	Ne mangez pas les huîtres.
Don't even talk to me.	Ne me parle même pas.
Don't even talk to me.	Ne me parlez même pas.
Don't expect overtime.	N'espère pas d'heures supplémentaires !
Don't expect overtime.	N'espérez pas d'heures supplémentaires !
Don't expect too much.	N'attends pas trop.
Don't forget about me.	Ne m'oublie pas.
Don't forget about me.	Ne m'oubliez pas.
Don't forget about us!	Ne nous oublie pas !
Don't forget to floss.	N'oublie pas de te passer le fil dentaire.
Don't forget to floss.	N'oubliez pas de vous passer le fil dentaire.
Don't forget your bag.	N'oubliez pas votre sac !
Don't forget your bag.	N'oublie pas ton sac !
Don't get discouraged.	Ne te décourage pas.
Don't get discouraged.	Ne vous découragez pas.
Don't get sidetracked.	Ne te laisse pas divertir.
Don't get too excited.	Ne t'excite pas tant !
Don't get too excited.	Ne vous excitez pas tant !
Don't give up halfway.	N'abandonne pas en chemin.
Don't go near the dog.	N'approchez pas du chien.
Don't go near the dog.	Ne t'approche pas du chien.
Don't go near the dog.	Ne vous approchez pas du chien.
Don't keep me waiting.	Ne me fais pas attendre !
Don't keep me waiting.	Ne me faites pas attendre !
Don't leave me behind!	Ne me laissez pas en arrière!
Don't leave me behind!	Ne me laisse pas à la traîne !
Don't leave me behind!	Ne me laissez pas à la traîne !
Don't leave the TV on.	Ne laisse pas la télévision allumée !
Don't let Tom do that.	Ne laisse pas Tom faire ça.
Don't let Tom do that.	Ne laissez pas Tom faire cela.
Don't let me die here.	Ne me laissez pas mourir ici.
Don't let that dog go.	Ne lâche pas le chien.
Don't look so shocked.	N'ayez pas l'air si choqué !
Don't look so shocked.	N'ayez pas l'air si choquée !
Don't look so shocked.	N'ayez pas l'air si choqués !
Don't look so shocked.	N'ayez pas l'air si choquées !
Don't look so shocked.	N'aie pas l'air si choqué !
Don't look so shocked.	N'aie pas l'air si choquée !
Don't lose your purse.	Ne perds pas ton porte-monnaie.
Don't lose your purse.	Ne perdez pas votre porte-monnaie.
Don't make me do this.	Ne me fais pas faire ça !
Don't make me do this.	Ne me faites pas faire ça !
Don't make me do this.	Ne m'oblige pas à faire ça.
Don't make me do this.	Ne m'obligez pas à faire ça.
Don't open it, please.	Ne l'ouvre pas, s'il te plaît.
Don't open it, please.	Ne l'ouvrez pas, s'il vous plaît.
Don't open the window.	N'ouvrez pas la fenêtre.
Don't open your books.	N'ouvrez pas vos livres !
Don't open your mouth.	N'ouvre pas la bouche !
Don't read my journal.	Ne lis pas mon journal !
Don't read my journal.	Ne lisez pas mon journal !
Don't read my journal.	Ne lis pas ma revue !
Don't read my journal.	Ne lisez pas ma revue !
Don't respond to that.	N'y réponds pas !
Don't respond to that.	N'y répondez pas !
Don't say such things.	Ne dites pas de telles choses !
Don't say such things.	Ne dis pas de telles choses !
Don't stand in my way.	Ne te mets pas dans mon chemin.
Don't stand too close.	Ne te tiens pas trop près !
Don't stand too close.	Ne vous tenez pas trop près !
Don't step on my toes.	Ne me marche pas sur les orteils !
Don't step on my toes.	Ne me marchez pas sur les orteils !
Don't swear in public.	Ne jurez pas en public.
Don't swear in public.	Ne jure pas en public.
Don't throw that away.	Ne le jetez pas !
Don't throw that away.	Ne le jette pas !
Don't touch my camera.	Ne touche pas à mon appareil photo.
Don't touch that dial.	Ne touche pas à ce cadran !
Don't touch that dial.	Ne touchez pas à ce cadran !
Don't touch the glass.	Ne touchez pas la vitre.
Don't touch the glass.	Ne touche pas la vitre.
Don't touch the stove.	Ne touche pas le poêle.
Don't touch the stove.	Ne touche pas la cuisinière.
Don't touch the stove.	Ne touchez pas la cuisinière.
Don't touch the stove.	Ne touchez pas le poêle.
Don't try my patience.	Ne joue pas avec ma patience.
Don't try to trick us.	N'essayez pas de nous arnaquer !
Don't try to trick us.	N'essaye pas de nous arnaquer !
Don't waste your time.	Ne gaspillez pas votre temps !
Don't waste your time.	Ne gaspille pas ton temps !
Don't you feel guilty?	Ne te sens-tu pas coupable ?
Don't you feel guilty?	Ne vous sentez-vous pas coupable ?
Don't you play tennis?	Vous ne jouez pas au tennis ?
Don't you play tennis?	Tu ne joues pas au tennis ?
Don't you remember us?	Ne te rappelles-tu pas de nous ?
Double-click the icon.	Double-cliquez sur l'icône.
Drinking was his ruin.	Boire fut sa perte.
Eat whatever you like.	Mange ce qui te plaît.
Eat whatever you like.	Mange tout ce que tu veux.
Eat whatever you like.	Mange ce qui te chante.
Eat whatever you like.	Mangez ce qui vous chante.
Eat your soup, please.	Mange ta soupe, s'il te plaît.
Every dog has his day.	La chance tourne.
Every dog has his day.	Chaque chien a son jour.
Everybody believes it.	Tout le monde le croit.
Everybody has secrets.	Tout le monde a des secrets.
Everybody is sleeping.	Tout le monde dort.
Everybody likes money.	Tout le monde apprécie l'argent.
Everybody likes money.	Tout le monde aime l'argent.
Everybody looked sick.	Tout le monde avait l'air malade.
Everybody loves music.	Tout le monde aime la musique.
Everybody ran outside.	Tout le monde courut dehors.
Everybody ran outside.	Tout le monde a couru dehors.
Everybody was stunned.	Tout le monde fut stupéfait.
Everybody was stunned.	Tout le monde fut abasourdi.
Everybody was stunned.	Tout le monde a été abasourdi.
Everybody's a suspect.	Tout le monde est suspect.
Everyone is different.	Tout le monde est différent.
Everyone is exhausted.	Tout le monde est épuisé.
Everyone is suffering.	Tout le monde souffre.
Everyone kept talking.	Tout le monde a continué à parler.
Everyone kept talking.	Tout le monde continua à parler.
Everyone quieted down.	Tout le monde se calma.
Everyone quieted down.	Tout le monde s'est calmé.
Everyone was doing it.	Tout le monde le faisait.
Everyone was drinking.	Tout le monde était en train de boire.
Everything is working.	Tout fonctionne.
Everything was stolen.	Tout a été volé.
Everything went black.	Tout devint noir.
Everything went black.	Tout est devenu noir.
Everything went wrong.	Tout est allé de travers.
Fasten your seat belt.	Attachez votre ceinture.
Fasten your seat belt.	Attachez votre ceinture de sécurité.
Fasten your seatbelts.	Attachez-vos ceintures !
Fill this out, please.	Remplissez ceci, je vous prie !
Fill this out, please.	Remplis ceci, je te prie !
Find out where Tom is.	Cherche où est Tom.
Food will be included.	La nourriture sera incluse.
Fortune smiled on him.	La fortune lui sourit.
Fortune smiled on him.	La chance lui a souri.
Forty people attended.	Quarante personnes étaient présentes.
Frankly, I don't care.	Franchement, je m'en fiche.
Get me another lawyer.	Dégote-moi un autre avocat !
Get me another lawyer.	Dégotez-moi un autre avocat !
Get out of my kitchen.	Sors de ma cuisine !
Get out of my kitchen.	Sortez de ma cuisine !
Get out while you can.	Sors, tant que tu le peux !
Get out while you can.	Sortez, tant que vous le pouvez !
Get your hands off me.	Bas les pattes !
Get your hands off me.	Enlève tes pattes de moi !
Get your hands off me.	Enlevez vos pattes de moi !
Give him a day or two.	Donne-lui un jour ou deux.
Give it to me, please.	Donnez-le-moi, s'il vous plait.
Give it to me, please.	Donnez-moi cela, je vous prie.
Give me just a little.	Donnez-m'en juste un peu.
Give me some more tea.	Donnez-moi un peu plus de thé.
Give me your car keys.	Donne-moi tes clés de voiture !
Give me your car keys.	Donnez-moi vos clés de voiture !
Give this book to Tom.	Donne ce livre à Tom.
Glad to see you again.	Ravie de te revoir.
Glad to see you again.	Ravi de vous revoir.
Go ahead and take one.	Vas-y et prends en un !
Go ahead and take one.	Allez-y et prenez-en un !
Go and see the doctor.	Va voir le médecin.
Go back to your seats.	Retournez vous asseoir.
Go through the market.	Traverse le marché.
Go with your instinct.	Suis ton instinct.
God created the world.	Dieu créa le monde.
God made the universe.	Dieu créa l'univers.
God, you're beautiful.	Dieu que tu es belle !
God, you're beautiful.	Dieu que vous êtes belle !
Good luck on the test!	Bonne chance pour l'examen !
Goodbye till tomorrow.	Au revoir et à demain.
Had you been drinking?	As-tu bu ?
Had you been drinking?	Avez-vous bu ?
Had you been drinking?	Est-ce que tu as bu ?
Had you been drinking?	Tu as bu ?
Had you been drinking?	Est-ce que vous avez bu ?
Had you been drinking?	Vous avez bu ?
Happy Valentine's Day.	Joyeuse Saint-Valentin.
Has Tom been arrested?	Tom a-t-il été arrêté ?
Has the baby woken up?	Le bébé s'est-il réveillé ?
Have a good Christmas.	Passe un joyeux Noël !
Have a good Christmas.	Passez un joyeux Noël !
Have a little dignity.	Aie un peu de dignité !
Have a little dignity.	Ayez un peu de dignité !
Have something to eat.	Prends quelque chose à manger.
Have something to eat.	Prenez quelque chose à manger.
Have they arrived yet?	Sont-ils déjà arrivés ?
Have they arrived yet?	Sont-elles déjà arrivées ?
Have they spotted you?	Vous ont-ils repéré ?
Have they spotted you?	Vous ont-ils repérée ?
Have they spotted you?	Vous ont-elles repéré ?
Have they spotted you?	Vous ont-elles repérée ?
Have they spotted you?	T'ont-elles repéré ?
Have they spotted you?	T'ont-elles repérée ?
Have they spotted you?	T'ont-ils repéré ?
Have they spotted you?	T'ont-ils repérée ?
Have they spotted you?	Vous ont-ils repérés ?
Have they spotted you?	Vous ont-elles repérés ?
Have they spotted you?	Vous ont-ils repérées ?
Have they spotted you?	Vous ont-elles repérées ?
Have you all gone mad?	Vous avez tous perdu la tête ?
Have you been smoking?	As-tu fumé ?
Have you been smoking?	Avez-vous fumé ?
Have you confirmed it?	L'avez-vous confirmé ?
Have you confirmed it?	L'as-tu confirmé ?
Have you finished yet?	Avez-vous déjà fini ?
Have you read the FAQ?	Avez-vous lu les questions fréquemment posées ?
Have you read the FAQ?	Avez-vous lu les QFP ?
Have you read the FAQ?	As-tu lu les QFP ?
Have you seen my coat?	Avez-vous vu mon manteau ?
Have you seen my keys?	As-tu vu mes clés?
Have you seen my keys?	T’as pas vu mes clés ?
Have you seen my wife?	As-tu vu ma femme ?
Have you told anybody?	L'as-tu dit à quiconque ?
Have you told anybody?	L'avez-vous dit à quiconque ?
Have yourself a drink.	Sers-toi une boisson !
Have yourself a drink.	Servez-vous une boisson !
Have yourself a drink.	Sers-toi un verre !
Have yourself a drink.	Servez-vous un verre !
Haven't we met before?	Ne nous sommes-nous pas rencontrés auparavant ?
Haven't you eaten yet?	N'avez-vous pas encore mangé ?
Haven't you eaten yet?	N'as-tu pas encore mangé ?
He abandoned all hope.	Il abandonna tout espoir.
He accepted our offer.	Il a accepté notre proposition.
He acted as our guide.	Il nous fit office de guide.
He admitted his guilt.	Il a confessé sa culpabilité.
He admitted his guilt.	Il reconnut sa culpabilité.
He adopted the orphan.	Il a adopté l'orphelin.
He also speaks French.	Il parle aussi le français.
He also speaks French.	Il parle également français.
He and I are teachers.	Lui et moi sommes professeurs.
He and I are teachers.	Lui et moi sommes instituteurs.
He and I are teachers.	Lui et moi sommes enseignants.
He asked me who I was.	Il me demanda qui j'étais.
He avenged his father.	Il a vengé son père.
He became a policeman.	Il est devenu policier.
He bowed to the Queen.	Il s'inclina devant la reine.
He bowed to the Queen.	Il s'est incliné devant la reine.
He broke into a house.	Il s'introduisit dans une maison.
He called at my house.	Il est venu chez moi.
He came into the room.	Il est entré dans la chambre.
He came into the room.	Il entra dans la chambre.
He came late as usual.	Il est arrivé en retard comme toujours.
He came several times.	Il est venu plusieurs fois.
He came to pick me up.	Il est venu pour me prendre.
He came to pick me up.	Il vint me prendre.
He can leave tomorrow.	Il peut partir demain.
He can no longer wait.	Il ne peut pas attendre plus longtemps.
He can read and write.	Il sait lire et écrire.
He can't come with us.	Il ne peut venir avec nous.
He can't come with us.	Il ne peut pas venir avec nous.
He can't find his hat.	Il ne retrouve pas son chapeau.
He can't see nor hear.	Il ne voit ni n'entend.
He cannot play guitar.	Il ne sait pas jouer de la guitare.
He certainly is smart.	Il est certainement intelligent.
He cleared his throat.	Il s'est éclairci la voix.
He comes from England.	Il vient d'Angleterre.
He continued doing it.	Il a continué à le faire.
He could speak French.	Il savait parler français.
He crawled out of bed.	Il rampa hors du lit.
He cried out for help.	Il cria à l'aide.
He crossed the street.	Il traversait la rue.
He crossed the street.	Il a traversé la rue.
He deals in furniture.	Il fait le commerce de meubles.
He deals in used cars.	Il fait commerce de voitures d'occasion.
He defeated his enemy.	Il a vaincu son ennemi.
He delivered a speech.	Il prononça un discours.
